%,ADP,Data,File:,ELK2204251139.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,25/04/2022,11:39:12,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
31,2022-04-25,11:41:42,95.4,93.2,81.5,45.2,36.81190833,-121.7821133,5.65,5.75,5.42,5.61,0,0.77,53.4,0.52,342.7,0.01,0.7,6,10.49,107.5
32,2022-04-25,11:41:47,99.3,97,84.4,47.8,36.811935,-121.78214,5.64,5.66,5.38,5.56,0,0.78,48.8,0.56,328.3,0.01,0.5,6,12,119.5
33,2022-04-25,11:41:52,102.6,100.2,86.8,50.1,36.81196167,-121.7821517,5.77,5.71,5.32,5.6,0,0.65,45.5,0.52,308,0.01,0.6,6,9.35,128.8
34,2022-04-25,11:41:57,105.6,103.1,89,52.1,36.81198,-121.7821583,5.76,5.9,5.37,5.68,0,0.61,46.8,0.45,307.6,0.01,0.4,6,7.63,136.4
35,2022-04-25,11:42:02,108.2,105.7,91,53.8,36.81200667,-121.7821667,5.73,5.89,5.52,5.71,0,0.52,51.3,0.46,311.3,0.01,0.5,7,6.86,143.3
36,2022-04-25,11:42:07,110.9,108.4,93.2,55.3,36.81202833,-121.7821683,5.67,5.83,5.52,5.67,0,0.54,54.9,0.49,299.7,0.01,0.5,7,6.74,150
37,2022-04-25,11:42:12,113.7,111.2,95.5,56.9,36.812055,-121.7821717,5.5,5.43,5.46,5.46,0,0.57,55.4,0.52,289.6,0.01,0.5,6,6.53,156.6
38,2022-04-25,11:42:17,116.2,113.7,97.6,58.4,36.812085,-121.7821733,5.17,5.19,5.31,5.22,0,0.49,54.9,0.48,292.5,0.01,0.6,6,5.24,161.8
39,2022-04-25,11:42:22,119.8,117.3,100.8,60,36.81211167,-121.78217,4.93,4.9,5.17,5,0,0.72,62.6,0.48,279.7,0.01,0.7,6,5.27,167.1
40,2022-04-25,11:42:27,123.3,120.7,103.8,61.6,36.81214333,-121.7821733,4.67,4.63,4.73,4.68,0,0.69,62.9,0.42,298.8,0.01,0.7,5,5.62,172.7
41,2022-04-25,11:42:32,126.7,124.1,107,62.9,36.81216833,-121.78217,4.24,4.21,4.53,4.33,0,0.69,68,0.37,294.2,0.02,1.2,5,4.01,176.7
42,2022-04-25,11:42:37,129.3,126.7,109.4,64.1,36.81219167,-121.78216,4.13,4,4.18,4.1,0,0.53,63.2,0.42,288.1,0.01,0.6,4,3.19,179.9
43,2022-04-25,11:42:42,132,129.4,111.9,64.9,36.81221833,-121.782145,4.01,4.01,3.99,4,0,0.54,71.8,0.33,279.4,0.02,1,4,1.65,181.6
%-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,
%,Discharge,Summary,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,
%,Top,Q,=,34.69,(cms),,,,,,,,,,,,,,,,,
%,Measured,Q,=,114.85,(cms),,,,,,,,,,,,,,,,,
%,Bottom,Q,=,32.017,(cms),,,,,,,,,,,,,,,,,
%,Left,Q,=,0,(cms),,,,,,,,,,,,,,,,,
%,Right,Q,=,0,(cms),,,,,,,,,,,,,,,,,
%,Total,Q,=,181.56,(cms),,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,
%,MeasQ/EstQ,=,63.3,(%),,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,
%,TotalArea,=,508.59,(m2),,,,,,,,,,,,,,,,,,
%,MeanVel,=,0.36,(m/s),,,,,,,,,,,,,,,,,,
